,cid,brand,model,datamonth,price,biz30day,total_sold_price,model_ratings,model_rank
6,50008950,aike/爱克,RS_700,201909,27.31,1185,292051.75,91.01,34.0
44,50008950,bole/博乐,MW318/319/360,201909,190.8,2845,524870.1699999999,,
89,50008950,bosch/博世,DLE4000,201909,304.97,6514,2682001.63,83.75,52.0
134,50008950,bosch/博世,GLM,201909,283.84,19880,7260889.279999998,87.6,48.0
179,50008950,bosch/博世,GLM25,201909,290.43,3053,1071435.2900000003,,
223,50008950,bosch/博世,GLM30,201909,287.16,23751,6871015.799999999,67.5,64.0
266,50008950,bosch/博世,GLM30/40/50/7000,201909,287.82,29883,10402083.989999998,77.57,60.0
311,50008950,bosch/博世,GLM40,201909,320.89,1772,618962.08,95.34,12.0
353,50008950,bosch/博世,GLM4000,201909,377.5,4462,1853608.76,87.6,49.0
398,50008950,b–te/邦特,机械/数显/大轮/小轮,201909,102.81,46053,5897896.1499999985,93.02,27.0
403,50008950,chnt/正泰,ZTY0301A,201909,178.8,322,51315.600000000006,,
441,50008950,deli/得力,DL4168,201909,155.72,5032,828250.57,96.5,7.0
448,50008950,deli/得力,DL4171,201909,158.56,3678,634656.8899999999,90.14,42.0
457,50008950,deli/得力,DL9712,201909,212.72,5273,1060757.39,97.26,3.0
496,50008950,delixi electric/德力西电气,DHFDE160.,201909,168.46,21475,4022619.610000001,78.55,59.0
500,50008950,duka/杜克,LS-P,201909,139.27,1196,163655.16999999998,91.84,33.0
504,50008950,duka/杜克,LS-P 激光测距仪,201909,145.08,1241,183853.41,,
539,50008950,edkors/爱德克斯,AS,201909,283.98,15708,4796891.98,92.42,32.0
584,50008950,edkors/爱德克斯,AS600,201909,297.6,19006,7817820.380000002,88.94,46.0
592,50008950,edkors/爱德克斯,DK,201909,81.6,1716,140025.6,90.34,40.0
601,50008950,edkors/爱德克斯,G,201909,249.0,1249,311001.0,,
615,50008950,everte/埃维特,AWT-JGJC,201909,108.48,4885,660243.71,82.36,57.0
625,50008950,fogo/富格,FG-011,201909,117.94,6270,687368.83,93.49,24.0
627,50008950,gcraft/世匠,A478,201909,162.33,64,10170.0,89.87,43.0
639,50008950,greener/绿林,测距仪,201909,117.58,8237,1036791.29,94.78,16.0
655,50008950,greener/绿林,激光测距仪,201909,101.9,5162,595677.3899999999,82.82,56.0
666,50008950,greener/绿林,迷你激光测距仪,201909,120.09,2824,378441.14,,
685,50008950,lo'master/老师傅,CJL,201909,61.5,4241,407894.61,,
687,50008950,maxwork/久用,CJL-001,201909,153.6,274,42138.69,,
697,50008950,mileseey/迈测,PF3S,201909,477.6,544,261681.35000000003,,
742,50008950,mileseey/迈测,S2,201909,208.49,79453,19248627.61,90.41,39.0
753,50008950,mileseey/迈测,S8,201909,116.33,572,117079.20000000001,,
756,50008950,myantenna,M1-25,201909,153.6,757,116275.2,93.45,25.0
760,50008950,myantenna,激光测距仪,201909,153.6,2074,318566.4,94.03,19.0
775,50008950,ronix,9340,201909,172.33,958,169068.74,,
779,50008950,sata/世达,05201,201909,93.4,2910,277360.0,67.92,63.0
819,50008950,sj/上匠,轮式测距仪,201909,93.2,3205,369828.0400000001,,
840,50008950,sndway/深达威,M40/M60/M80/M100/M120,201909,117.6,816,90406.80000000002,,
867,50008950,sndway/深达威,M80,201909,117.6,1024,125078.33,,
912,50008950,sndway/深达威,SW,201909,94.89,307593,37828908.919999994,93.92,21.0
918,50008950,sndway/深达威,SW-1000,201909,463.62,282,133278.86000000002,,
963,50008950,sndway/深达威,SW-40,201909,85.38,314164,39026671.989999995,93.63,23.0
994,50008950,sndway/深达威,SW-600A升级版,201909,468.0,8356,4085493.0900000003,82.2,58.0
1033,50008950,sndway/深达威,SW-600S,201909,314.67,9135,4201028.550000001,93.28,26.0
1060,50008950,sndway/深达威,SW-M,201909,120.49,7205,920993.24,,
1105,50008950,sndway/深达威,SW-M40,201909,90.96,153147,18257248.239999995,92.77,30.0
1144,50008950,sndway/深达威,SW-M40/M60/M80/M100,201909,117.6,3707,461359.51000000007,,
1171,50008950,sndway/深达威,SW-M40A,201909,117.83,7385,961563.56,92.69,31.0
1216,50008950,sndway/深达威,SW-M60,201909,117.04,1178,157497.36000000002,,
1242,50008950,sndway/深达威,SW-MA,201909,143.67,16497,2551333.6599999997,90.77,36.0
1254,50008950,sndway/深达威,SW-TM,201909,163.3,4692,740027.0,97.97,1.0
1280,50008950,sndway/深达威,SW-望远镜,201909,492.46,3415,1709504.8699999999,90.77,37.0
1308,50008950,tajima/田岛,TDT-CJY,201909,105.6,1785,194271.6,,
