,cid,brand,model,datamonth,price,biz30day,total_sold_price,sku,submarket,tag_score,target_score,rate_ring_biz30day,rate_ring_total_sold_price,season_biz30day_raise,season_total_sold_price_raise,rate_year_biz30day,rate_year_total_sold_price,biz30day_increment,total_sold_price_increment,model_ratings,model_tag_ratings,model_target_ratings,aver_model_ratings,aver_model_tag_ratings,aver_model_target_ratings,model_rank,model_tag_rank,model_target_rank,top_model,top_tag,top_target,imageurl,model_ratings_confidence,model_tag_ratings_confidence,id
0,2019070912,be＆cheery/百草味,芝士蛋羹176G,201906,22.93,1971,45187.7,"{'产地': '中国大陆', '厂名': '成都亚玛亚天然食品有限公司', '城市': '成都市', '省份': '四川省', '保质期': '90天', '净含量': '176g', '包装方式': '包装', '果冻形态': '其他/OTHER', '果冻布丁种类': '其他/OTHER'}",,"{'包装': 57.21, '味道': 66.67, '质量': 53.21}","{'包装': {'包装': 57.21}, '味道': {'味道': 66.67}, '质量': {'质量': 53.21}}",-65.03,-63.05,49.68,62.47,,,-3665.0,-77094.8,81.75,"{'包装': 92.29, '味道': 75.4, '质量': 95.16}","{'包装': {'包装': 92.29}, '味道': {'味道': 75.4}, '质量': {'质量': 95.16}}",85.37,"{'分量': 68.22, '功能': 93.71, '包装': 86.98, '口感': 87.48, '味道': 85.74, '外观': 91.04, '果肉': 79.87, '热量': 58.55, '质量': 92.45, '性价比': 84.02, '添加剂': 8.58}","{'分量': {'分量': 68.22}, '功能': {'功能': 93.71, '零食': 92.21, '养颜效果': 83.46, '减肥功能': 53.46, '排毒效果': 91.85, '祛痘功能': 22.95, '清肠排便效果': 84.34}, '包装': {'包装': 86.98}, '口感': {'口感': 87.48}, '味道': {'味道': 85.74}, '外观': {'外观': 91.04}, '果肉': {'果肉': 79.87}, '热量': {'热量': 58.55}, '质量': {'质量': 92.45}, '性价比': {'性价比': 84.02}, '添加剂': {'添加剂': 8.58}}",183.0,"{'包装': '81/187', '味道': '213/244', '质量': '53/138'}","{'包装': {'包装': '81/187'}, '味道': {'味道': '213/244'}, '质量': {'质量': '53/138'}}",98.98,"{'分量': 94.73, '功能': 99.64, '包装': 99.4, '口感': 99.61, '味道': 99.38, '外观': 95.63, '果肉': 93.82, '热量': 58.55, '质量': 99.09, '性价比': 98.54, '添加剂': 8.58}","{'分量': {'分量': 94.73}, '功能': {'功能': 99.64, '零食': 98.52, '养颜效果': 91.31, '减肥功能': 66.34, '排毒效果': 96.24, '祛痘功能': 22.95, '清肠排便效果': 94.24}, '包装': {'包装': 99.4}, '口感': {'口感': 99.61}, '味道': {'味道': 99.38}, '外观': {'外观': 95.63}, '果肉': {'果肉': 93.82}, '热量': {'热量': 58.55}, '质量': {'质量': 99.09}, '性价比': {'性价比': 98.54}, '添加剂': {'添加剂': 8.58}}",//img.alicdn.com/imgextra/i3/628189716/O1CN012Ldye91Dty5wbh5_!!0-item_pic.jpg,85.11,"{'包装': 100.0, '味道': 100.0, '质量': 100.0}",2681858
1,2019070912,alibaba/小黄人,布丁吸吸果冻,201906,13.62,228,3105.61,"{'产地': '马来西亚', '口味': '荔枝味,草莓味,芒果味', '保质期': '540天', '净含量': '840g', '包装方式': '散装', '果冻形态': '其他/OTHER', '果冻布丁种类': '果味型'}",,{'味道': 9.67},{'味道': {'味道': 9.67}},3.17,1.46,44.47,54.72,-43.56,-39.98,7.0,44.59,48.94,{'味道': 48.94},{'味道': {'味道': 48.94}},85.37,"{'分量': 68.22, '功能': 93.71, '包装': 86.98, '口感': 87.48, '味道': 85.74, '外观': 91.04, '果肉': 79.87, '热量': 58.55, '质量': 92.45, '性价比': 84.02, '添加剂': 8.58}","{'分量': {'分量': 68.22}, '功能': {'功能': 93.71, '零食': 92.21, '养颜效果': 83.46, '减肥功能': 53.46, '排毒效果': 91.85, '祛痘功能': 22.95, '清肠排便效果': 84.34}, '包装': {'包装': 86.98}, '口感': {'口感': 87.48}, '味道': {'味道': 85.74}, '外观': {'外观': 91.04}, '果肉': {'果肉': 79.87}, '热量': {'热量': 58.55}, '质量': {'质量': 92.45}, '性价比': {'性价比': 84.02}, '添加剂': {'添加剂': 8.58}}",255.0,{'味道': '243/244'},{'味道': {'味道': '243/244'}},98.98,"{'分量': 94.73, '功能': 99.64, '包装': 99.4, '口感': 99.61, '味道': 99.38, '外观': 95.63, '果肉': 93.82, '热量': 58.55, '质量': 99.09, '性价比': 98.54, '添加剂': 8.58}","{'分量': {'分量': 94.73}, '功能': {'功能': 99.64, '零食': 98.52, '养颜效果': 91.31, '减肥功能': 66.34, '排毒效果': 96.24, '祛痘功能': 22.95, '清肠排便效果': 94.24}, '包装': {'包装': 99.4}, '口感': {'口感': 99.61}, '味道': {'味道': 99.38}, '外观': {'外观': 95.63}, '果肉': {'果肉': 93.82}, '热量': {'热量': 58.55}, '质量': {'质量': 99.09}, '性价比': {'性价比': 98.54}, '添加剂': {'添加剂': 8.58}}",http://img.alicdn.com/imgextra/i1/2691983410/TB2W_I6hHBkpuFjy1zkXXbSpFXa_!!2691983410.jpg,53.1,{'味道': 100.0},35386375
2,2019070912,bocca/牧家,气球布丁,201906,92.45,1215,112326.07,"{'产地': '日本', '厂名': '株式会社牧家', '口味': '原味,芒果味', '保质期': '9天', '净含量': '380g', '包装方式': '散装', '果冻形态': '其他/OTHER', '果冻布丁种类': '其他/OTHER'}",,"{'包装': 100.95, '口感': 68.3, '味道': 474.77, '质量': 45.53, '性价比': 12.09}","{'包装': {'包装': 100.95}, '口感': {'口感': 68.3}, '味道': {'味道': 474.77}, '质量': {'质量': 45.53}, '性价比': {'性价比': 12.09}}",,,-56.86,-55.46,23.23,29.61,1215.0,112326.07,83.81,"{'包装': 86.9, '口感': 91.26, '味道': 90.38, '质量': 81.01, '性价比': 53.76}","{'包装': {'包装': 86.9}, '口感': {'口感': 91.26}, '味道': {'味道': 90.38}, '质量': {'质量': 81.01}, '性价比': {'性价比': 53.76}}",85.37,"{'分量': 68.22, '功能': 93.71, '包装': 86.98, '口感': 87.48, '味道': 85.74, '外观': 91.04, '果肉': 79.87, '热量': 58.55, '质量': 92.45, '性价比': 84.02, '添加剂': 8.58}","{'分量': {'分量': 68.22}, '功能': {'功能': 93.71, '零食': 92.21, '养颜效果': 83.46, '减肥功能': 53.46, '排毒效果': 91.85, '祛痘功能': 22.95, '清肠排便效果': 84.34}, '包装': {'包装': 86.98}, '口感': {'口感': 87.48}, '味道': {'味道': 85.74}, '外观': {'外观': 91.04}, '果肉': {'果肉': 79.87}, '热量': {'热量': 58.55}, '质量': {'质量': 92.45}, '性价比': {'性价比': 84.02}, '添加剂': {'添加剂': 8.58}}",161.0,"{'包装': '119/187', '口感': '43/98', '味道': '92/244', '质量': '132/138', '性价比': '106/111'}","{'包装': {'包装': '119/187'}, '口感': {'口感': '43/98'}, '味道': {'味道': '92/244'}, '质量': {'质量': '132/138'}, '性价比': {'性价比': '106/111'}}",98.98,"{'分量': 94.73, '功能': 99.64, '包装': 99.4, '口感': 99.61, '味道': 99.38, '外观': 95.63, '果肉': 93.82, '热量': 58.55, '质量': 99.09, '性价比': 98.54, '添加剂': 8.58}","{'分量': {'分量': 94.73}, '功能': {'功能': 99.64, '零食': 98.52, '养颜效果': 91.31, '减肥功能': 66.34, '排毒效果': 96.24, '祛痘功能': 22.95, '清肠排便效果': 94.24}, '包装': {'包装': 99.4}, '口感': {'口感': 99.61}, '味道': {'味道': 99.38}, '外观': {'外观': 95.63}, '果肉': {'果肉': 93.82}, '热量': {'热量': 58.55}, '质量': {'质量': 99.09}, '性价比': {'性价比': 98.54}, '添加剂': {'添加剂': 8.58}}",http://img.alicdn.com/imgextra/i3/TB1Po1JHXXXXXXYXpXXXXXXXXXX_!!0-item_pic.jpg,100.0,"{'包装': 100.0, '口感': 100.0, '味道': 100.0, '质量': 100.0, '性价比': 100.0}",40137223
3,2019070912,bocca/牧家,规格: 布丁,201906,29.12,142,4135.2,"{'产地': '日本', '厂名': '株式会社牧家', '口味': '酸奶味,原味,混合口味', '保质期': '15天', '净含量': '300g', '包装方式': '包装', '果冻形态': '凝胶', '果冻布丁种类': '含乳型'}",,"{'包装': 22.98, '味道': 65.3}","{'包装': {'包装': 22.98}, '味道': {'味道': 65.3}}",-20.67,-9.6,-39.58,-51.63,-69.4,-72.96,-37.0,-439.2,81.44,"{'包装': 82.97, '味道': 80.52}","{'包装': {'包装': 82.97}, '味道': {'味道': 80.52}}",85.37,"{'分量': 68.22, '功能': 93.71, '包装': 86.98, '口感': 87.48, '味道': 85.74, '外观': 91.04, '果肉': 79.87, '热量': 58.55, '质量': 92.45, '性价比': 84.02, '添加剂': 8.58}","{'分量': {'分量': 68.22}, '功能': {'功能': 93.71, '零食': 92.21, '养颜效果': 83.46, '减肥功能': 53.46, '排毒效果': 91.85, '祛痘功能': 22.95, '清肠排便效果': 84.34}, '包装': {'包装': 86.98}, '口感': {'口感': 87.48}, '味道': {'味道': 85.74}, '外观': {'外观': 91.04}, '果肉': {'果肉': 79.87}, '热量': {'热量': 58.55}, '质量': {'质量': 92.45}, '性价比': {'性价比': 84.02}, '添加剂': {'添加剂': 8.58}}",188.0,"{'包装': '140/187', '味道': '184/244'}","{'包装': {'包装': '140/187'}, '味道': {'味道': '184/244'}}",98.98,"{'分量': 94.73, '功能': 99.64, '包装': 99.4, '口感': 99.61, '味道': 99.38, '外观': 95.63, '果肉': 93.82, '热量': 58.55, '质量': 99.09, '性价比': 98.54, '添加剂': 8.58}","{'分量': {'分量': 94.73}, '功能': {'功能': 99.64, '零食': 98.52, '养颜效果': 91.31, '减肥功能': 66.34, '排毒效果': 96.24, '祛痘功能': 22.95, '清肠排便效果': 94.24}, '包装': {'包装': 99.4}, '口感': {'口感': 99.61}, '味道': {'味道': 99.38}, '外观': {'外观': 95.63}, '果肉': {'果肉': 93.82}, '热量': {'热量': 58.55}, '质量': {'质量': 99.09}, '性价比': {'性价比': 98.54}, '添加剂': {'添加剂': 8.58}}",http://img.alicdn.com/imgextra/i2/120889366/TB2JoSpi9xjpuFjSszeXXaeMVXa_!!120889366.jpg,85.11,"{'包装': 100.0, '味道': 100.0}",13973513
4,2019070912,call me queen/叫我女王,洛神花果冻,201906,29.76,3056,90936.0,"{'产地': '中国大陆', '厂名': '厦门维尔康生物科技有限公司', '口味': '洛神花味,燕窝味,果味', '城市': '厦门市', '省份': '福建省', '保质期': '365天', '净含量': '150g', '包装方式': '包装', '果冻形态': '凝胶', '果冻布丁种类': '果味型'}",,"{'功能': 1862.9, '包装': 265.41, '口感': 378.45, '味道': 767.41, '质量': 109.41, '性价比': 126.13}","{'功能': {'功能': 1539.03, '养颜效果': 35.07, '减肥功能': 27.81, '排毒效果': 49.58, '清肠排便效果': 211.41}, '包装': {'包装': 265.41}, '口感': {'口感': 378.45}, '味道': {'味道': 767.41}, '质量': {'质量': 109.41}, '性价比': {'性价比': 126.13}}",-0.59,0.63,-12.31,-7.83,-43.81,-43.6,-18.0,565.0,97.97,"{'功能': 99.05, '包装': 97.56, '口感': 98.74, '味道': 99.38, '质量': 97.59, '性价比': 93.86}","{'功能': {'功能': 99.05, '养颜效果': 84.52, '减肥功能': 64.91, '排毒效果': 88.42, '清肠排便效果': 94.24}, '包装': {'包装': 97.56}, '口感': {'口感': 98.74}, '味道': {'味道': 99.38}, '质量': {'质量': 97.59}, '性价比': {'性价比': 93.86}}",85.37,"{'分量': 68.22, '功能': 93.71, '包装': 86.98, '口感': 87.48, '味道': 85.74, '外观': 91.04, '果肉': 79.87, '热量': 58.55, '质量': 92.45, '性价比': 84.02, '添加剂': 8.58}","{'分量': {'分量': 68.22}, '功能': {'功能': 93.71, '零食': 92.21, '养颜效果': 83.46, '减肥功能': 53.46, '排毒效果': 91.85, '祛痘功能': 22.95, '清肠排便效果': 84.34}, '包装': {'包装': 86.98}, '口感': {'口感': 87.48}, '味道': {'味道': 85.74}, '外观': {'外观': 91.04}, '果肉': {'果肉': 79.87}, '热量': {'热量': 58.55}, '质量': {'质量': 92.45}, '性价比': {'性价比': 84.02}, '添加剂': {'添加剂': 8.58}}",5.0,"{'功能': '4/76', '包装': '16/187', '口感': '8/98', '味道': '1/244', '质量': '21/138', '性价比': '29/111'}","{'功能': {'功能': '4/76', '养颜效果': '9/14', '减肥功能': '3/9', '排毒效果': '6/6', '清肠排便效果': '1/28'}, '包装': {'包装': '16/187'}, '口感': {'口感': '8/98'}, '味道': {'味道': '1/244'}, '质量': {'质量': '21/138'}, '性价比': {'性价比': '29/111'}}",98.98,"{'分量': 94.73, '功能': 99.64, '包装': 99.4, '口感': 99.61, '味道': 99.38, '外观': 95.63, '果肉': 93.82, '热量': 58.55, '质量': 99.09, '性价比': 98.54, '添加剂': 8.58}","{'分量': {'分量': 94.73}, '功能': {'功能': 99.64, '零食': 98.52, '养颜效果': 91.31, '减肥功能': 66.34, '排毒效果': 96.24, '祛痘功能': 22.95, '清肠排便效果': 94.24}, '包装': {'包装': 99.4}, '口感': {'口感': 99.61}, '味道': {'味道': 99.38}, '外观': {'外观': 95.63}, '果肉': {'果肉': 93.82}, '热量': {'热量': 58.55}, '质量': {'质量': 99.09}, '性价比': {'性价比': 98.54}, '添加剂': {'添加剂': 8.58}}",http://img.alicdn.com/imgextra/i2/2632561686/TB2p7SnX5AnBKNjSZFvXXaTKXXa_!!2632561686.jpg,100.0,"{'功能': 100.0, '包装': 100.0, '口感': 100.0, '味道': 100.0, '质量': 100.0, '性价比': 100.0}",83265547
5,2019070912,call me queen/叫我女王,胶原蛋白/洛神花/燕窝果冻,201906,36.87,5384,198513.0,"{'产地': '中国大陆', '厂名': '厦门维尔康生物科技有限公司', '口味': '洛神花味,燕窝味,果味', '城市': '厦门市', '省份': '福建省', '保质期': '365天', '净含量': '150g', '包装方式': '包装', '果冻形态': '凝胶', '果冻布丁种类': '果肉型'}",,"{'功能': 3919.25, '包装': 473.98, '口感': 822.82, '味道': 1796.13, '质量': 266.2, '性价比': 222.46}","{'功能': {'功能': 3395.11, '养颜效果': 72.55, '减肥功能': 36.07, '排毒效果': 84.65, '清肠排便效果': 330.87}, '包装': {'包装': 473.98}, '口感': {'口感': 822.82}, '味道': {'味道': 1796.13}, '质量': {'质量': 266.2}, '性价比': {'性价比': 222.46}}",-11.36,-19.45,-8.34,-1.19,-74.3,-68.7,-690.0,-47937.0,97.85,"{'功能': 98.55, '包装': 97.31, '口感': 98.8, '味道': 98.94, '质量': 98.22, '性价比': 95.1}","{'功能': {'功能': 98.55, '养颜效果': 88.28, '减肥功能': 60.13, '排毒效果': 89.73, '清肠排便效果': 92.18}, '包装': {'包装': 97.31}, '口感': {'口感': 98.8}, '味道': {'味道': 98.94}, '质量': {'质量': 98.22}, '性价比': {'性价比': 95.1}}",85.37,"{'分量': 68.22, '功能': 93.71, '包装': 86.98, '口感': 87.48, '味道': 85.74, '外观': 91.04, '果肉': 79.87, '热量': 58.55, '质量': 92.45, '性价比': 84.02, '添加剂': 8.58}","{'分量': {'分量': 68.22}, '功能': {'功能': 93.71, '零食': 92.21, '养颜效果': 83.46, '减肥功能': 53.46, '排毒效果': 91.85, '祛痘功能': 22.95, '清肠排便效果': 84.34}, '包装': {'包装': 86.98}, '口感': {'口感': 87.48}, '味道': {'味道': 85.74}, '外观': {'外观': 91.04}, '果肉': {'果肉': 79.87}, '热量': {'热量': 58.55}, '质量': {'质量': 92.45}, '性价比': {'性价比': 84.02}, '添加剂': {'添加剂': 8.58}}",7.0,"{'功能': '9/76', '包装': '18/187', '口感': '5/98', '味道': '3/244', '质量': '12/138', '性价比': '16/111'}","{'功能': {'功能': '9/76', '养颜效果': '4/14', '减肥功能': '5/9', '排毒效果': '5/6', '清肠排便效果': '5/28'}, '包装': {'包装': '18/187'}, '口感': {'口感': '5/98'}, '味道': {'味道': '3/244'}, '质量': {'质量': '12/138'}, '性价比': {'性价比': '16/111'}}",98.98,"{'分量': 94.73, '功能': 99.64, '包装': 99.4, '口感': 99.61, '味道': 99.38, '外观': 95.63, '果肉': 93.82, '热量': 58.55, '质量': 99.09, '性价比': 98.54, '添加剂': 8.58}","{'分量': {'分量': 94.73}, '功能': {'功能': 99.64, '零食': 98.52, '养颜效果': 91.31, '减肥功能': 66.34, '排毒效果': 96.24, '祛痘功能': 22.95, '清肠排便效果': 94.24}, '包装': {'包装': 99.4}, '口感': {'口感': 99.61}, '味道': {'味道': 99.38}, '外观': {'外观': 95.63}, '果肉': {'果肉': 93.82}, '热量': {'热量': 58.55}, '质量': {'质量': 99.09}, '性价比': {'性价比': 98.54}, '添加剂': {'添加剂': 8.58}}",http://img.alicdn.com/imgextra/i4/61856419/TB20aVJi3vD8KJjy0FlXXagBFXa_!!61856419.jpg,100.0,"{'功能': 100.0, '包装': 100.0, '口感': 100.0, '味道': 100.0, '质量': 100.0, '性价比': 100.0}",26081294
6,2019070912,chacheer/洽洽,混合果冻-糖果装,201906,22.9,4350,99603.6,"{'产地': '中国大陆', '厂名': '合肥华力食品有限公司', '口味': '混合口味,果味', '城市': '合肥市', '省份': '安徽省', '保质期': '270天', '净含量': '600g', '包装方式': '包装', '果冻形态': '凝胶', '果冻布丁种类': '果味型'}",,"{'包装': 340.99, '口感': 44.91, '味道': 252.13, '质量': 99.11, '性价比': 59.21}","{'包装': {'包装': 340.99}, '口感': {'口感': 44.91}, '味道': {'味道': 252.13}, '质量': {'质量': 99.11}, '性价比': {'性价比': 59.21}}",99.08,99.15,4.91,4.9,52.04,72.37,2165.0,49589.11,86.24,"{'包装': 96.73, '口感': 76.43, '味道': 83.16, '质量': 97.34, '性价比': 74.65}","{'包装': {'包装': 96.73}, '口感': {'口感': 76.43}, '味道': {'味道': 83.16}, '质量': {'质量': 97.34}, '性价比': {'性价比': 74.65}}",85.37,"{'分量': 68.22, '功能': 93.71, '包装': 86.98, '口感': 87.48, '味道': 85.74, '外观': 91.04, '果肉': 79.87, '热量': 58.55, '质量': 92.45, '性价比': 84.02, '添加剂': 8.58}","{'分量': {'分量': 68.22}, '功能': {'功能': 93.71, '零食': 92.21, '养颜效果': 83.46, '减肥功能': 53.46, '排毒效果': 91.85, '祛痘功能': 22.95, '清肠排便效果': 84.34}, '包装': {'包装': 86.98}, '口感': {'口感': 87.48}, '味道': {'味道': 85.74}, '外观': {'外观': 91.04}, '果肉': {'果肉': 79.87}, '热量': {'热量': 58.55}, '质量': {'质量': 92.45}, '性价比': {'性价比': 84.02}, '添加剂': {'添加剂': 8.58}}",137.0,"{'包装': '28/187', '口感': '86/98', '味道': '163/244', '质量': '26/138', '性价比': '89/111'}","{'包装': {'包装': '28/187'}, '口感': {'口感': '86/98'}, '味道': {'味道': '163/244'}, '质量': {'质量': '26/138'}, '性价比': {'性价比': '89/111'}}",98.98,"{'分量': 94.73, '功能': 99.64, '包装': 99.4, '口感': 99.61, '味道': 99.38, '外观': 95.63, '果肉': 93.82, '热量': 58.55, '质量': 99.09, '性价比': 98.54, '添加剂': 8.58}","{'分量': {'分量': 94.73}, '功能': {'功能': 99.64, '零食': 98.52, '养颜效果': 91.31, '减肥功能': 66.34, '排毒效果': 96.24, '祛痘功能': 22.95, '清肠排便效果': 94.24}, '包装': {'包装': 99.4}, '口感': {'口感': 99.61}, '味道': {'味道': 99.38}, '外观': {'外观': 95.63}, '果肉': {'果肉': 93.82}, '热量': {'热量': 58.55}, '质量': {'质量': 99.09}, '性价比': {'性价比': 98.54}, '添加剂': {'添加剂': 8.58}}",//img.alicdn.com/imgextra/i4/742982950/O1CN01i25HKn1Xf8tnJuA3Z_!!0-item_pic.jpg,100.0,"{'包装': 100.0, '口感': 100.0, '味道': 100.0, '质量': 100.0, '性价比': 100.0}",70544399
7,2019070912,chacheer/洽洽,蒟蒻果汁果冻,201906,35.13,594,20866.88,"{'产地': '中国大陆', '厂名': '洽洽食品股份有限公司', '口味': '水蜜桃味,西柚味,青提味', '城市': '合肥市', '省份': '安徽省', '保质期': '270天', '净含量': '120g', '包装方式': '包装', '果冻形态': '可吸', '果冻布丁种类': '果肉型'}",,{'味道': 21.56},{'味道': {'味道': 21.56}},3.48,-9.95,-0.17,-13.76,77.84,50.02,20.0,-2305.44,73.96,{'味道': 73.96},{'味道': {'味道': 73.96}},85.37,"{'分量': 68.22, '功能': 93.71, '包装': 86.98, '口感': 87.48, '味道': 85.74, '外观': 91.04, '果肉': 79.87, '热量': 58.55, '质量': 92.45, '性价比': 84.02, '添加剂': 8.58}","{'分量': {'分量': 68.22}, '功能': {'功能': 93.71, '零食': 92.21, '养颜效果': 83.46, '减肥功能': 53.46, '排毒效果': 91.85, '祛痘功能': 22.95, '清肠排便效果': 84.34}, '包装': {'包装': 86.98}, '口感': {'口感': 87.48}, '味道': {'味道': 85.74}, '外观': {'外观': 91.04}, '果肉': {'果肉': 79.87}, '热量': {'热量': 58.55}, '质量': {'质量': 92.45}, '性价比': {'性价比': 84.02}, '添加剂': {'添加剂': 8.58}}",227.0,{'味道': '216/244'},{'味道': {'味道': '216/244'}},98.98,"{'分量': 94.73, '功能': 99.64, '包装': 99.4, '口感': 99.61, '味道': 99.38, '外观': 95.63, '果肉': 93.82, '热量': 58.55, '质量': 99.09, '性价比': 98.54, '添加剂': 8.58}","{'分量': {'分量': 94.73}, '功能': {'功能': 99.64, '零食': 98.52, '养颜效果': 91.31, '减肥功能': 66.34, '排毒效果': 96.24, '祛痘功能': 22.95, '清肠排便效果': 94.24}, '包装': {'包装': 99.4}, '口感': {'口感': 99.61}, '味道': {'味道': 99.38}, '外观': {'外观': 95.63}, '果肉': {'果肉': 93.82}, '热量': {'热量': 58.55}, '质量': {'质量': 99.09}, '性价比': {'性价比': 98.54}, '添加剂': {'添加剂': 8.58}}",http://img.alicdn.com/imgextra/i3/790759258/TB2VIuMd7ZmBKNjSZPiXXXFNVXa_!!790759258.jpg,53.1,{'味道': 100.0},48900111
8,2019070912,clever mama/巧妈妈,乳酸菌布丁,201906,24.09,133,3204.47,"{'产地': '中国大陆', '厂名': '福建省晋江巧妈妈食品有限公司', '口味': '草莓味,原味,芒果味,乳酸味,蓝莓味', '城市': '泉州市', '省份': '福建省', '保质期': '270天', '净含量': '480g', '包装方式': '包装', '果冻形态': '其他/OTHER', '果冻布丁种类': '含乳型'}",,"{'包装': 198.32, '口感': 62.46, '味道': 493.37, '质量': 56.42, '性价比': 67.72}","{'包装': {'包装': 198.32}, '口感': {'口感': 62.46}, '味道': {'味道': 493.37}, '质量': {'质量': 56.42}, '性价比': {'性价比': 67.72}}",-20.83,-19.84,-38.93,-34.48,-47.84,-44.73,-35.0,-793.19,90.36,"{'包装': 93.26, '口感': 83.64, '味道': 89.39, '质量': 92.19, '性价比': 87.58}","{'包装': {'包装': 93.26}, '口感': {'口感': 83.64}, '味道': {'味道': 89.39}, '质量': {'质量': 92.19}, '性价比': {'性价比': 87.58}}",85.37,"{'分量': 68.22, '功能': 93.71, '包装': 86.98, '口感': 87.48, '味道': 85.74, '外观': 91.04, '果肉': 79.87, '热量': 58.55, '质量': 92.45, '性价比': 84.02, '添加剂': 8.58}","{'分量': {'分量': 68.22}, '功能': {'功能': 93.71, '零食': 92.21, '养颜效果': 83.46, '减肥功能': 53.46, '排毒效果': 91.85, '祛痘功能': 22.95, '清肠排便效果': 84.34}, '包装': {'包装': 86.98}, '口感': {'口感': 87.48}, '味道': {'味道': 85.74}, '外观': {'外观': 91.04}, '果肉': {'果肉': 79.87}, '热量': {'热量': 58.55}, '质量': {'质量': 92.45}, '性价比': {'性价比': 84.02}, '添加剂': {'添加剂': 8.58}}",91.0,"{'包装': '67/187', '口感': '74/98', '味道': '102/244', '质量': '83/138', '性价比': '65/111'}","{'包装': {'包装': '67/187'}, '口感': {'口感': '74/98'}, '味道': {'味道': '102/244'}, '质量': {'质量': '83/138'}, '性价比': {'性价比': '65/111'}}",98.98,"{'分量': 94.73, '功能': 99.64, '包装': 99.4, '口感': 99.61, '味道': 99.38, '外观': 95.63, '果肉': 93.82, '热量': 58.55, '质量': 99.09, '性价比': 98.54, '添加剂': 8.58}","{'分量': {'分量': 94.73}, '功能': {'功能': 99.64, '零食': 98.52, '养颜效果': 91.31, '减肥功能': 66.34, '排毒效果': 96.24, '祛痘功能': 22.95, '清肠排便效果': 94.24}, '包装': {'包装': 99.4}, '口感': {'口感': 99.61}, '味道': {'味道': 99.38}, '外观': {'外观': 95.63}, '果肉': {'果肉': 93.82}, '热量': {'热量': 58.55}, '质量': {'质量': 99.09}, '性价比': {'性价比': 98.54}, '添加剂': {'添加剂': 8.58}}",//img.alicdn.com/imgextra/i3/2707992787/O1CN01gOBbxg1WSUNEuZxd2_!!2707992787.jpg,100.0,"{'包装': 100.0, '口感': 100.0, '味道': 100.0, '质量': 100.0, '性价比': 100.0}",20757520
9,2019070912,clever mama/巧妈妈,奶酪布丁,201906,23.91,248,5928.87,"{'产地': '中国大陆', '厂名': '福建省晋江巧妈妈食品有限公司', '口味': '百香果味,草莓味,原味,芒果味', '城市': '泉州市', '省份': '福建省', '保质期': '365天', '净含量': '480g', '包装方式': '散装', '果冻形态': '凝胶', '果冻布丁种类': '含乳型'}",,"{'包装': 47.16, '味道': 114.67, '性价比': 25.39}","{'包装': {'包装': 47.16}, '味道': {'味道': 114.67}, '性价比': {'性价比': 25.39}}",22.17,18.41,-22.69,-21.91,78.42,30.41,45.0,921.66,84.37,"{'包装': 81.5, '味道': 84.41, '性价比': 90.37}","{'包装': {'包装': 81.5}, '味道': {'味道': 84.41}, '性价比': {'性价比': 90.37}}",85.37,"{'分量': 68.22, '功能': 93.71, '包装': 86.98, '口感': 87.48, '味道': 85.74, '外观': 91.04, '果肉': 79.87, '热量': 58.55, '质量': 92.45, '性价比': 84.02, '添加剂': 8.58}","{'分量': {'分量': 68.22}, '功能': {'功能': 93.71, '零食': 92.21, '养颜效果': 83.46, '减肥功能': 53.46, '排毒效果': 91.85, '祛痘功能': 22.95, '清肠排便效果': 84.34}, '包装': {'包装': 86.98}, '口感': {'口感': 87.48}, '味道': {'味道': 85.74}, '外观': {'外观': 91.04}, '果肉': {'果肉': 79.87}, '热量': {'热量': 58.55}, '质量': {'质量': 92.45}, '性价比': {'性价比': 84.02}, '添加剂': {'添加剂': 8.58}}",154.0,"{'包装': '149/187', '味道': '152/244', '性价比': '54/111'}","{'包装': {'包装': '149/187'}, '味道': {'味道': '152/244'}, '性价比': {'性价比': '54/111'}}",98.98,"{'分量': 94.73, '功能': 99.64, '包装': 99.4, '口感': 99.61, '味道': 99.38, '外观': 95.63, '果肉': 93.82, '热量': 58.55, '质量': 99.09, '性价比': 98.54, '添加剂': 8.58}","{'分量': {'分量': 94.73}, '功能': {'功能': 99.64, '零食': 98.52, '养颜效果': 91.31, '减肥功能': 66.34, '排毒效果': 96.24, '祛痘功能': 22.95, '清肠排便效果': 94.24}, '包装': {'包装': 99.4}, '口感': {'口感': 99.61}, '味道': {'味道': 99.38}, '外观': {'外观': 95.63}, '果肉': {'果肉': 93.82}, '热量': {'热量': 58.55}, '质量': {'质量': 99.09}, '性价比': {'性价比': 98.54}, '添加剂': {'添加剂': 8.58}}",//img.alicdn.com/imgextra/i1/2707992787/O1CN015eoQJG1WSUNHXhzTh_!!2707992787.jpg,100.0,"{'包装': 100.0, '味道': 100.0, '性价比': 100.0}",86467602
