,cid,cidname,brand,model,funcid,target,target_ratings,target_rank,target_pos,target_neu,target_neg,target_total,target_rate,target_rate_rank
796,2019070912,果冻/布丁,菲诺,YWYZD_1,3443,包装,96.31,31,68,0,0,68,1.0,1
371,2019070912,果冻/布丁,懒人爱,洛神果冻系列,3444,味道,95.36,40,46,0,0,46,1.0,1
21,2019070912,果冻/布丁,喜之郎,乳酸钙果汁果冻495G,3447,性价比,91.47,49,24,0,0,24,1.0,1
766,2019070912,果冻/布丁,安之若素,洛神花果冻,3448,功能,95.64,34,50,0,0,50,1.0,1
248,2019070912,果冻/布丁,三叔公,果冻布丁,3445,质量,91.47,97,24,0,0,24,1.0,1
581,2019070912,果冻/布丁,均畅,酵素果冻,3444,味道,91.47,82,24,0,0,24,1.0,2
540,2019070912,果冻/布丁,米嬉,酵素果冻系列,3445,质量,95.63,46,49,0,0,49,1.0,2
347,2019070912,果冻/布丁,百食驿,酵素果冻,3445,质量,95.62,47,49,0,0,49,1.0,3
229,2019070912,果冻/布丁,盛香珍,优酪果园,3445,质量,91.47,96,24,0,0,24,1.0,4
641,2019070912,果冻/布丁,旺旺,吸的冻,3445,质量,95.59,48,49,0,0,49,1.0,5
554,2019070912,果冻/布丁,纤淑,酵素果冻,3443,包装,95.46,42,47,0,0,47,1.0,2
185,2019070912,果冻/布丁,otaku/御宅女,酵素果,3445,质量,95.42,49,47,0,0,47,1.0,6
737,2019070912,果冻/布丁,chacheer/洽洽,儿童挤食果冻,3445,质量,91.47,95,24,0,0,24,1.0,7
452,2019070912,果冻/布丁,all lucky days/拉珂,酵素果冻,3444,味道,95.36,39,46,0,0,46,1.0,3
285,2019070912,果冻/布丁,都乐梦,糕点,3444,味道,91.51,81,25,0,0,25,1.0,4
936,2019070912,果冻/布丁,xtaml,玫瑰果冻,3445,质量,91.47,99,24,0,0,24,1.0,8
150,2019070912,果冻/布丁,easy fun,零卡果冻,3445,质量,95.3,52,49,0,0,49,1.0,9
17,2019070912,果冻/布丁,亲亲,果冻90G,3456,零食,95.26,4,45,0,0,45,1.0,1
509,2019070912,果冻/布丁,麦心诺,明星款果粉,3443,包装,95.26,43,45,0,0,45,1.0,3
335,2019070912,果冻/布丁,旺旺,维多粒,3447,性价比,91.68,46,25,0,0,25,1.0,2
20,2019070912,果冻/布丁,be＆cheery/百草味,芝士蛋羹176G,3445,质量,95.16,53,44,0,0,44,1.0,10
567,2019070912,果冻/布丁,好妈妈,果冻粉,3445,质量,91.73,92,25,0,0,25,1.0,11
960,2019070912,果冻/布丁,雅客,雅客心动珍礼果冻,3455,分量,91.73,4,25,0,0,25,1.0,1
130,2019070912,果冻/布丁,凯基宁,黄金百香果味果冻,3446,口感,95.05,22,43,0,0,43,1.0,1
339,2019070912,果冻/布丁,metabolic,酵素酵母果冻,3443,包装,95.05,45,43,0,0,43,1.0,4
420,2019070912,果冻/布丁,卓宜,酵素果冻,3443,包装,91.78,86,25,0,0,25,1.0,5
377,2019070912,果冻/布丁,果太郎,可吸果冻165G,3445,质量,91.78,91,25,0,0,25,1.0,12
308,2019070912,果冻/布丁,谢怡,人参果冻,3446,口感,91.78,41,25,0,0,25,1.0,2
412,2019070912,果冻/布丁,梦雨果,JSGD001,3445,质量,91.47,98,24,0,0,24,1.0,13
127,2019070912,果冻/布丁,良品铺子,米酿,3456,零食,95.78,3,51,0,0,51,1.0,2
304,2019070912,果冻/布丁,panda gifts/熊猫有礼,椰子冻,3445,质量,97.1,31,75,0,0,75,1.0,14
355,2019070912,果冻/布丁,钰盈堂,果肉果冻,3445,质量,91.01,104,23,0,0,23,1.0,15
372,2019070912,果冻/布丁,懒人爱,洛神果冻系列,3448,功能,96.94,22,71,0,0,71,1.0,2
789,2019070912,果冻/布丁,喜之郎,茶味果冻117G,3444,味道,90.63,88,22,0,0,22,1.0,5
124,2019070912,果冻/布丁,良品铺子,米酿,3446,口感,90.63,47,22,0,0,22,1.0,3
34,2019070912,果冻/布丁,都乐梦,慕斯,3443,包装,96.8,26,69,0,0,69,1.0,6
0,2019070912,果冻/布丁,slim waist/小纤腰,果冻3盒,3443,包装,90.77,95,22,0,0,22,1.0,7
881,2019070912,果冻/布丁,安之若素,洛神花酵素果冻,3447,性价比,90.77,51,22,0,0,22,1.0,3
943,2019070912,果冻/布丁,康喔,3盒酵素果冻（蓝莓味）,3444,味道,90.77,86,22,0,0,22,1.0,6
631,2019070912,果冻/布丁,小腰精,018,3446,口感,90.77,46,22,0,0,22,1.0,4
593,2019070912,果冻/布丁,百变女郎,B-秋语果冻-39,3444,味道,96.51,31,62,0,0,62,1.0,7
108,2019070912,果冻/布丁,yutior,新品臻纤果吸,3448,功能,96.42,28,61,0,0,61,1.0,3
916,2019070912,果冻/布丁,喜之郎,果肉果冻200G*6,3444,味道,96.34,33,59,0,0,59,1.0,8
201,2019070912,果冻/布丁,生和堂,雪梨枇杷膏,3448,功能,90.84,62,26,0,0,26,1.0,4
669,2019070912,果冻/布丁,川品,高端系列,3445,质量,96.27,40,58,0,0,58,1.0,16
239,2019070912,果冻/布丁,初萌,初萌酵素果冻A,3445,质量,91.13,100,23,0,0,23,1.0,17
793,2019070912,果冻/布丁,盛香珍,果冻210G,3443,包装,91.01,92,23,0,0,23,1.0,8
32,2019070912,果冻/布丁,喜之郎,草莓味果冻90克,3445,质量,91.01,103,23,0,0,23,1.0,18
146,2019070912,果冻/布丁,slim waist/小纤腰,酵素果冻系列,3446,口感,91.07,45,23,0,0,23,1.0,5
951,2019070912,果冻/布丁,懒人爱,酵素果冻2盒装,3443,包装,96.09,35,55,0,0,55,1.0,9
183,2019070912,果冻/布丁,otaku/御宅女,酵素果,3443,包装,96.07,36,55,0,0,55,1.0,10
139,2019070912,果冻/布丁,larbee/蜡笔小新,整箱果冻2100G,3445,质量,91.12,102,24,0,0,24,1.0,19
512,2019070912,果冻/布丁,麦心诺,明星款果粉,3446,口感,95.95,19,53,0,0,53,1.0,6
166,2019070912,果冻/布丁,妖秀,酵素果冻01,3446,口感,95.95,20,53,0,0,53,1.0,7
635,2019070912,果冻/布丁,拂朵,冻吃大吃,3446,口感,91.13,44,23,0,0,23,1.0,8
96,2019070912,果冻/布丁,喜之郎,果肉果冻200G*16,3445,质量,91.13,101,23,0,0,23,1.0,20
511,2019070912,果冻/布丁,麦心诺,明星款果粉,3445,质量,95.8,42,51,0,0,51,1.0,21
700,2019070912,果冻/布丁,存臻,综合果蔬,3448,功能,95.79,31,52,0,0,52,1.0,5
454,2019070912,果冻/布丁,all lucky days/拉珂,酵素果冻,3448,功能,91.78,55,25,0,0,25,1.0,6
854,2019070912,果冻/布丁,旺旺,吸吸冰,3445,质量,91.8,90,28,0,0,28,1.0,22
214,2019070912,果冻/布丁,樱桃小丸子,海藻冻,3445,质量,94.88,58,42,0,0,42,1.0,23
430,2019070912,果冻/布丁,盛香珍,荔枝果冻,3443,包装,93.82,60,34,0,0,34,1.0,11
367,2019070912,果冻/布丁,来伊份,奶酪布丁,3445,质量,94.25,66,37,0,0,37,1.0,24
392,2019070912,果冻/布丁,喜之郎,大礼包,3443,包装,92.51,78,28,0,0,28,1.0,12
729,2019070912,果冻/布丁,惠尔康,优の冻组合装,3445,质量,92.56,81,28,0,0,28,1.0,25
56,2019070912,果冻/布丁,酷语,酵素,3444,味道,92.6,64,28,0,0,28,1.0,9
963,2019070912,果冻/布丁,广元堂,SOSO酵素果冻,3445,质量,94.12,68,36,0,0,36,1.0,26
370,2019070912,果冻/布丁,懒人爱,洛神果冻系列,3443,包装,92.6,75,28,0,0,28,1.0,13
307,2019070912,果冻/布丁,谢怡,人参果冻,3444,味道,92.8,61,29,0,0,29,1.0,10
743,2019070912,果冻/布丁,来伊份,日式纸袋果冻,3443,包装,92.82,70,35,0,0,35,1.0,14
594,2019070912,果冻/布丁,百变女郎,B-秋语果冻-39,3446,口感,92.84,34,29,0,0,29,1.0,9
343,2019070912,果冻/布丁,存臻,燕窝果冻5盒装,3444,味道,93.98,49,36,0,0,36,1.0,11
877,2019070912,果冻/布丁,安之若素,洛神花酵素果冻,3443,包装,93.85,59,35,0,0,35,1.0,15
828,2019070912,果冻/布丁,lium/溜溜梅,冻心装,3445,质量,93.01,77,36,0,0,36,1.0,27
413,2019070912,果冻/布丁,梦雨果,JSGD001,3446,口感,93.82,29,34,0,0,34,1.0,10
738,2019070912,果冻/布丁,盛香珍,DRQ3包组合果冻,3443,包装,94.84,48,42,0,0,42,1.0,16
602,2019070912,果冻/布丁,夏三优,优美世界,3444,味道,93.02,58,30,0,0,30,1.0,12
2,2019070912,果冻/布丁,slim waist/小纤腰,果冻3盒,3448,功能,93.06,51,30,0,0,30,1.0,7
798,2019070912,果冻/布丁,菲诺,YWYZD_1,3445,质量,93.14,75,34,0,0,34,1.0,28
319,2019070912,果冻/布丁,expressions,蓝莓酵素果冻条,3445,质量,93.65,71,33,0,0,33,1.0,29
313,2019070912,果冻/布丁,姿然美,酵素果冻,3444,味道,93.23,57,31,0,0,31,1.0,13
817,2019070912,果冻/布丁,慕方,慕方蓝莓酵素果冻,3444,味道,93.65,53,33,0,0,33,1.0,14
143,2019070912,果冻/布丁,喜之郎,乳酸果冻360G,3445,质量,93.27,74,31,0,0,31,1.0,30
754,2019070912,果冻/布丁,芊芊佳人,酵素果冻,3448,功能,93.46,47,32,0,0,32,1.0,8
953,2019070912,果冻/布丁,懒人爱,酵素果冻2盒装,3446,口感,93.46,31,32,0,0,32,1.0,11
880,2019070912,果冻/布丁,安之若素,洛神花酵素果冻,3446,口感,93.36,33,32,0,0,32,1.0,12
444,2019070912,果冻/布丁,喜之郎,果冻90克,3443,包装,93.43,63,32,0,0,32,1.0,17
