,cid,cidname,brand,model,datamonth,price,biz30day,biz30day_rank,total_sold_price,total_sold_price_rank,model_ratings,model_rank,model_pos,model_neu,model_neg,model_total,model_rate,model_rate_rank
182,50006219,电钻,hephaestus/工匠之神,501,201909,118.8,13,640,1544.4,641,62.61,478.0,30,0,0,30,1.0,1
398,50006219,电钻,大艺,PED01-10,201909,123.14,316,540,39236.8,559,71.56,345.0,21,0,0,21,1.0,2
110,50006219,电钻,devon/大有,5268-LI-12TS/N,201909,434.82,371,526,145323.00000000003,428,69.76,366.0,44,0,0,44,1.0,3
89,50006219,电钻,canlidi,007,201909,52.56,847,417,44518.32,544,91.52,16.0,180,0,0,180,1.0,4
338,50006219,电钻,佛兰仕,手电冲击钻,201909,57.28,721,444,44216.23,545,72.7,321.0,51,0,0,51,1.0,5
45,50006219,电钻,bosch/博世,06019G9180,201909,1187.24,37,628,44163.0,546,81.6,171.0,12,0,0,12,1.0,6
526,50006219,电钻,福瑞德,新款佳泰全系锂电钻,201909,240.52,182,581,43774.34,547,83.48,133.0,51,0,0,51,1.0,7
401,50006219,电钻,大艺,YBT-4,201909,189.6,285,553,42972.0,550,45.94,608.0,22,0,0,22,1.0,8
592,50006219,电钻,醒狮,931016,201909,185.0,853,416,150440.9,425,49.3,591.0,11,0,0,11,1.0,9
90,50006219,电钻,cnpnhtep,电机,201909,18.9,2185,268,42965.82,551,70.56,357.0,52,0,0,52,1.0,10
93,50006219,电钻,cristin/克里斯汀,CRT-DZ-252,201909,213.12,138,593,41858.399999999994,552,54.86,558.0,15,0,0,15,1.0,11
117,50006219,电钻,dewalt/得伟,DCD700C2,201909,417.71,320,538,155757.03,415,58.75,519.0,13,0,0,13,1.0,12
61,50006219,电钻,bosch/博世,GSB12V-30,201909,681.3,62,621,41461.46,554,72.71,320.0,14,0,0,14,1.0,13
191,50006219,电钻,hitachi/日立,DS12DA,201909,317.33,96,606,39961.869999999995,556,58.18,528.0,17,0,0,17,1.0,14
533,50006219,电钻,科麦斯,12V、16.8V、25V,201909,200.4,195,577,39337.200000000004,558,68.44,380.0,41,0,0,41,1.0,15
294,50006219,电钻,wynn’s/威力狮,WS4447,201909,158.69,236,565,37518.950000000004,562,88.94,45.0,78,0,0,78,1.0,16
231,50006219,电钻,mpt,5506,201909,94.8,9269,122,878701.22,182,86.13,93.0,411,0,0,411,1.0,17
264,50006219,电钻,wido,AC-SDZ450,201909,130.8,1162,369,156995.30999999994,414,68.84,376.0,38,0,0,38,1.0,18
567,50006219,电钻,翱翔,222,201909,74.4,424,513,31545.600000000002,570,80.77,183.0,60,0,0,60,1.0,19
215,50006219,电钻,makita/牧田,DF330D,201909,411.46,393,522,167532.46999999997,410,53.28,568.0,17,0,0,17,1.0,20
228,50006219,电钻,metabo/麦太保,SBE760,201909,764.0,42,625,30858.0,572,38.37,628.0,12,0,0,12,1.0,21
205,50006219,电钻,kress/卡胜,11000211000,201909,200.19,149,590,30453.82,573,81.6,171.0,12,0,0,12,1.0,22
566,50006219,电钻,翱翔,123,201909,54.0,546,481,29484.0,575,75.72,262.0,13,0,0,13,1.0,23
518,50006219,电钻,福瑞德,36VF电钻+配件盒,201909,228.88,749,435,172888.96000000002,406,72.22,331.0,35,0,0,35,1.0,24
508,50006219,电钻,灵威,J1Z-BY-10,201909,144.0,190,579,27517.66,577,59.51,515.0,13,0,0,13,1.0,25
436,50006219,电钻,尚海华升,HS28RE,201909,1950.0,14,638,27300.0,579,88.02,67.0,18,0,0,18,1.0,26
314,50006219,电钻,丰奇,A13,201909,153.54,163,587,24800.4,583,76.88,245.0,18,0,0,18,1.0,27
142,50006219,电钻,dongcheng/东成,FF-10,201909,105.84,224,570,24497.879999999997,584,67.9,394.0,13,0,0,13,1.0,28
446,50006219,电钻,德克博尔,DK,201909,12.0,2653,242,187812.0,386,76.76,248.0,125,0,0,125,1.0,29
476,50006219,电钻,戈麦斯,战狼电钻套装,201909,271.73,89,610,22570.06,587,59.73,514.0,20,0,0,20,1.0,30
288,50006219,电钻,worx/威克士,WX129,201909,487.89,89,611,45099.78999999999,541,46.82,604.0,12,0,0,12,1.0,31
502,50006219,电钻,松普,018002588,201909,154.11,259,559,47290.61,538,73.44,308.0,12,0,0,12,1.0,32
259,50006219,电钻,tank/坦克,TK-DD0114,201909,216.0,955,400,204948.0,375,76.46,252.0,44,0,0,44,1.0,33
313,50006219,电钻,上岛川,SDC,201909,93.6,939,402,87890.40000000001,491,97.4,1.0,1428,0,0,1428,1.0,34
404,50006219,电钻,天洋,36-1,201909,259.0,413,518,106967.0,465,48.11,596.0,21,0,0,21,1.0,35
86,50006219,电钻,bosch/博世,电钻,201909,665.86,152,589,100414.0,474,82.27,158.0,42,0,0,42,1.0,36
633,50006219,电钻,龙韵,LY16.8,201909,105.6,782,427,99783.76000000001,475,60.62,503.0,21,0,0,21,1.0,37
512,50006219,电钻,瑞德,104000,201909,100.12,967,397,98437.26,476,73.03,314.0,42,0,0,42,1.0,38
405,50006219,电钻,天洋,NW-12S,201909,117.6,832,419,97843.20000000001,477,63.76,468.0,19,0,0,19,1.0,39
614,50006219,电钻,鹰之印,BST-P0903,201909,294.16,345,533,94940.92000000001,481,75.08,275.0,59,0,0,59,1.0,40
128,50006219,电钻,dongcheng/东成,120325569,201909,130.8,757,432,107855.0,464,85.4,102.0,96,0,0,96,1.0,41
254,50006219,电钻,stanley/史丹利,SCI12S2K,201909,636.6,171,584,109187.73,461,83.49,132.0,91,0,0,91,1.0,42
193,50006219,电钻,hitachi/日立,RLDS10DALCR,201909,339.97,230,568,94717.66000000002,482,42.82,622.0,13,0,0,13,1.0,43
7,50006219,电钻,black&decker/百得,MABASIC100-1300,201909,240.0,475,501,114000.0,456,78.48,226.0,68,0,0,68,1.0,44
100,50006219,电钻,devon/大有,1817,201909,355.53,314,543,92151.53000000003,486,62.32,483.0,20,0,0,20,1.0,45
120,50006219,电钻,dewalt/得伟,DWD014,201909,347.71,362,528,119717.69999999998,453,72.13,332.0,11,0,0,11,1.0,46
230,50006219,电钻,miniq/迷你强,BG-5168E,201909,380.0,223,572,89260.78000000001,490,46.01,607.0,14,0,0,14,1.0,47
195,50006219,电钻,jd/巨大,JD101,201909,96.0,387,523,85971.0,492,66.45,422.0,21,0,0,21,1.0,48
569,50006219,电钻,艾瑞泽,999,201909,155.94,279,556,47644.99,537,67.42,403.0,14,0,0,14,1.0,49
434,50006219,电钻,宏鲨,8812S,201909,72.0,1171,366,129613.19999999997,444,74.48,290.0,60,0,0,60,1.0,50
545,50006219,电钻,科麦斯,暴龙工具箱,201909,465.67,180,582,83736.84999999999,493,68.34,387.0,29,0,0,29,1.0,51
127,50006219,电钻,dongcheng/东成,05-10,201909,124.86,660,459,82506.6,497,88.62,50.0,54,0,0,54,1.0,52
223,50006219,电钻,makita/牧田,M6200B,201909,510.4,178,583,82285.6,498,65.75,440.0,11,0,0,11,1.0,53
356,50006219,电钻,剑龙,QUHENGA688,201909,115.2,1137,371,130982.40000000001,442,71.93,337.0,40,0,0,40,1.0,54
163,50006219,电钻,expow,632-2S,201909,199.0,398,521,78361.7,503,72.89,317.0,59,0,0,59,1.0,55
149,50006219,电钻,dongcheng/东成,J1Z-FF-6A/10A/05-10A/13,201909,12.0,1380,346,75604.61,507,65.08,447.0,11,0,0,11,1.0,56
116,50006219,电钻,dewalt/得伟,DCD700,201909,344.37,168,586,74339.72,508,56.7,542.0,17,0,0,17,1.0,57
226,50006219,电钻,maovon/妙有,MAOVON,201909,70.2,1637,316,134901.56000000006,439,75.22,272.0,32,0,0,32,1.0,58
